word,definition,category
aorta,Main artery carrying blood from the heart,Anatomy
atrium,Upper chamber of the heart,Anatomy
ventricle,Lower chamber of the heart,Anatomy
valve,Structure controlling blood flow direction,Anatomy
septum,Wall separating body chambers,Anatomy
artery,Blood vessel carrying blood away from the heart,Anatomy
vein,Blood vessel carrying blood toward the heart,Anatomy
capillary,Small vessel connecting arteries and veins,Anatomy
femur,Thigh bone,Anatomy
tibia,Larger bone of the lower leg,Anatomy
fibula,Smaller bone of the lower leg,Anatomy
patella,Kneecap bone,Anatomy
pelvis,Bony structure supporting the trunk,Anatomy
sacrum,Fused bone at the base of the spine,Anatomy
coccyx,Tailbone,Anatomy
sternum,Breastbone,Anatomy
scapula,Shoulder blade,Anatomy
clavicle,Collar bone,Anatomy
humerus,Upper arm bone,Anatomy
radius,Forearm bone on the thumb side,Anatomy
ulna,Forearm bone on the little finger side,Anatomy
carpus,Wrist bones,Anatomy
metacarpal,Hand bone between wrist and fingers,Anatomy
phalanx,Finger or toe bone,Anatomy
mandible,Lower jaw bone,Anatomy
maxilla,Upper jaw bone,Anatomy
zygoma,Cheek bone,Anatomy
frontal,Forehead bone,Anatomy
parietal,Bone forming the roof of the skull,Anatomy
temporal,Side skull bone,Anatomy
occipital,Back skull bone,Anatomy
sphenoid,Bone at the skull base,Anatomy
ethmoid,Bone separating the nasal cavity,Anatomy
vertebra,Individual spinal bone,Anatomy
cervical,Neck region vertebra,Anatomy
thoracic,Chest region vertebra,Anatomy
lumbar,Lower back vertebra,Anatomy
rib,Bone protecting thoracic organs,Anatomy
cartilage,Firm flexible connective tissue,Anatomy
ligament,Tissue connecting bone to bone,Anatomy
tendon,Tissue connecting muscle to bone,Anatomy
fascia,Fibrous connective tissue sheet,Anatomy
periosteum,Membrane covering bone,Anatomy
marrow,Soft tissue inside bones,Anatomy
joint,Point where two bones meet,Anatomy
synovium,Joint lining membrane,Anatomy
meniscus,Crescent shaped cartilage in a joint,Anatomy
muscle,Tissue responsible for movement,Anatomy
myofiber,Muscle cell,Anatomy
biceps,Muscle of the upper arm,Anatomy
triceps,Muscle extending the elbow,Anatomy
deltoid,Shoulder muscle,Anatomy
pectoral,Chest muscle,Anatomy
trapezius,Upper back muscle,Anatomy
latissimus,Large back muscle,Anatomy
gluteus,Hip muscle,Anatomy
quadriceps,Front thigh muscle group,Anatomy
hamstring,Back thigh muscle group,Anatomy
diaphragm,Main breathing muscle,Anatomy
heart,Muscular organ pumping blood,Anatomy
lung,Organ responsible for gas exchange,Anatomy
bronchus,Major airway branch,Anatomy
alveolus,Air sac in the lung,Anatomy
trachea,Windpipe,Anatomy
larynx,Voice box,Anatomy
pharynx,Passage connecting mouth and throat,Anatomy
nasal,Nose related structure,Anatomy
sinus,Air filled cranial cavity,Anatomy
tongue,Muscular organ of the mouth,Anatomy
palate,Roof of the mouth,Anatomy
tooth,Calcified oral structure,Anatomy
incisor,Front cutting tooth,Anatomy
canine,Pointed tooth,Anatomy
molar,Grinding tooth,Anatomy
esophagus,Tube carrying food to the stomach,Anatomy
stomach,Digestive organ,Anatomy
duodenum,First part of the small intestine,Anatomy
jejunum,Middle part of the small intestine,Anatomy
ileum,Final part of the small intestine,Anatomy
colon,Main section of the large intestine,Anatomy
rectum,Terminal part of the large intestine,Anatomy
anus,Terminal digestive opening,Anatomy
liver,Large metabolic organ,Anatomy
pancreas,Gland producing enzymes and hormones,Anatomy
spleen,Lymphoid organ filtering blood,Anatomy
gallbladder,Organ storing bile,Anatomy
kidney,Organ filtering blood,Anatomy
nephron,Functional unit of the kidney,Anatomy
ureter,Tube carrying urine to the bladder,Anatomy
bladder,Urine storage organ,Anatomy
urethra,Tube carrying urine outside the body,Anatomy
ovary,Female reproductive gland,Anatomy
uterus,Female reproductive organ,Anatomy
cervix,Lower portion of the uterus,Anatomy
vagina,Female reproductive canal,Anatomy
testis,Male reproductive gland,Anatomy
scrotum,Sac containing the testes,Anatomy
prostate,Male reproductive gland,Anatomy
epididymis,Structure storing sperm,Anatomy
penis,External male reproductive organ,Anatomy
brain,Central nervous system organ,Anatomy
cerebrum,Largest part of the brain,Anatomy
cerebellum,Brain region coordinating movement,Anatomy
brainstem,Structure connecting brain and spinal cord,Anatomy
pons,Part of the brainstem,Anatomy
medulla,Lower brainstem structure,Anatomy
thalamus,Sensory relay center,Anatomy
hypothalamus,Regulatory brain center,Anatomy
pituitary,Master endocrine gland,Anatomy
pineal,Small endocrine gland in the brain,Anatomy
spinal,Related to the spinal cord,Anatomy
neuron,Nerve cell,Anatomy
axon,Nerve fiber carrying signals,Anatomy
dendrite,Neuron branch receiving signals,Anatomy
synapse,Junction between neurons,Anatomy
ganglion,Cluster of nerve cells,Anatomy
nerve,Bundle of neural fibers,Anatomy
myelin,Insulating nerve covering,Anatomy
retina,Light sensitive eye layer,Anatomy
cornea,Transparent front eye structure,Anatomy
iris,Colored eye structure,Anatomy
pupil,Opening in the iris,Anatomy
lens,Structure focusing light,Anatomy
cochlea,Hearing organ of the inner ear,Anatomy
vestibule,Balance structure of the inner ear,Anatomy
tympanum,Eardrum,Anatomy
dermis,Inner skin layer,Anatomy
epidermis,Outer skin layer,Anatomy
hypodermis,Deep skin layer,Anatomy
follicle,Hair producing structure,Anatomy
gland,Secretory organ,Anatomy
thyroid,Endocrine gland in the neck,Anatomy
parathyroid,Gland regulating calcium levels,Anatomy
adrenal,Gland above the kidney,Anatomy
lymph,Lymphatic fluid,Anatomy
lymphnode,Immune filtering structure,Anatomy
tonsil,Lymphoid tissue in the throat,Anatomy
appendix,Lymphoid intestinal structure,Anatomy
mesentery,Peritoneal fold supporting intestines,Anatomy
omentum,Peritoneal abdominal fold,Anatomy
peritoneum,Abdominal cavity membrane,Anatomy
pleura,Membrane surrounding the lungs,Anatomy
pericardium,Membrane surrounding the heart,Anatomy
endocardium,Inner lining of the heart,Anatomy
myocardium,Heart muscle layer,Anatomy
epicardium,Outer heart layer,Anatomy
cortex,Outer layer of an organ,Anatomy
hilum,Entry point of vessels and nerves,Anatomy
lobule,Small subdivision of an organ,Anatomy
lobar,Related to a lobe,Anatomy
cell,Basic structural unit of life,Histology
nucleus,Cell structure containing DNA,Histology
nucleolus,Site of ribosome production,Histology
cytoplasm,Material surrounding cell organelles,Histology
membrane,Outer boundary of a cell,Histology
organelle,Specialized structure within a cell,Histology
mitosis,Cell division producing identical cells,Histology
meiosis,Cell division producing gametes,Histology
chromatin,DNA protein complex in the nucleus,Histology
chromosome,DNA carrying genetic material,Histology
ribosome,Structure responsible for protein synthesis,Histology
lysosome,Organelle containing digestive enzymes,Histology
peroxisome,Organelle involved in oxidation,Histology
golgi,Organelle processing proteins,Histology
centriole,Structure involved in cell division,Histology
vacuole,Storage compartment in cells,Histology
microvilli,Tiny projections increasing surface area,Histology
cilia,Hairlike projections on cell surfaces,Histology
flagellum,Structure enabling cell movement,Histology
epithelium,Tissue covering surfaces and cavities,Histology
endothelium,Epithelial lining of blood vessels,Histology
mesothelium,Epithelial lining of body cavities,Histology
squamous,Flat epithelial cell type,Histology
cuboidal,Cube shaped epithelial cell type,Histology
columnar,Tall epithelial cell type,Histology
stratified,Layered epithelial arrangement,Histology
simple,Single layered epithelial arrangement,Histology
keratin,Protective structural protein,Histology
keratinized,Containing keratin layers,Histology
basement,Supporting layer beneath epithelium,Histology
lamina,Thin layer of tissue,Histology
stroma,Supporting connective tissue,Histology
parenchyma,Functional tissue of an organ,Histology
matrix,Material between cells,Histology
collagen,Major structural protein,Histology
elastin,Elastic connective tissue protein,Histology
reticular,Network forming connective tissue,Histology
fibroblast,Cell producing connective tissue,Histology
fibrocyte,Mature connective tissue cell,Histology
adipocyte,Fat storage cell,Histology
chondrocyte,Cartilage cell,Histology
osteocyte,Mature bone cell,Histology
osteoblast,Bone forming cell,Histology
osteoclast,Bone resorbing cell,Histology
myocyte,Muscle cell,Histology
sarcomere,Functional unit of muscle,Histology
myofibril,Contractile structure in muscle,Histology
actin,Muscle contractile protein,Histology
myosin,Motor protein in muscle,Histology
neuron,Nerve cell,Histology
neuroglia,Supporting nervous tissue cells,Histology
astrocyte,Star shaped glial cell,Histology
oligodendrocyte,Myelin producing CNS cell,Histology
microglia,Immune cell of nervous tissue,Histology
ependyma,Cells lining brain ventricles,Histology
axon,Nerve signal transmitting process,Histology
dendrite,Nerve signal receiving process,Histology
synapse,Communication junction between neurons,Histology
ganglion,Collection of nerve cell bodies,Histology
soma,Cell body of a neuron,Histology
myelin,Insulating nerve sheath,Histology
node,Gap between myelin segments,Histology
fascicle,Bundle of fibers,Histology
retina,Light sensitive neural tissue,Histology
cornea,Transparent anterior eye tissue,Histology
lens,Focusing structure of the eye,Histology
iris,Pigmented eye structure,Histology
dermis,Inner skin layer,Histology
epidermis,Outer skin layer,Histology
hypodermis,Subcutaneous tissue layer,Histology
follicle,Hair producing structure,Histology
sebaceous,Oil secreting gland tissue,Histology
sweat,Skin gland secretion,Histology
goblet,Mucus secreting epithelial cell,Histology
acinus,Secretory unit of a gland,Histology
duct,Passage carrying gland secretions,Histology
lobule,Small subdivision of an organ,Histology
sinusoid,Specialized capillary channel,Histology
alveolus,Microscopic air sac,Histology
bronchiole,Small airway branch,Histology
glomerulus,Capillary tuft in kidney,Histology
tubule,Small tubular structure,Histology
nephron,Functional kidney unit,Histology
podocyte,Specialized glomerular cell,Histology
hepatocyte,Liver cell,Histology
islet,Endocrine pancreatic cell cluster,Histology
acinar,Related to glandular acini,Histology
mucosa,Mucous membrane layer,Histology
submucosa,Connective tissue beneath mucosa,Histology
serosa,Outer organ covering,Histology
adventitia,External connective tissue layer,Histology
crypt,Glandular epithelial invagination,Histology
villus,Fingerlike intestinal projection,Histology
papilla,Small tissue projection,Histology
trabecula,Supporting tissue beam,Histology
lacuna,Small cavity within tissue,Histology
canaliculus,Microscopic channel in tissue,Histology
periosteum,Connective tissue covering bone,Histology
endosteum,Membrane lining bone cavities,Histology
marrow,Soft tissue within bone,Histology
thymus,Primary lymphoid organ,Histology
tonsil,Lymphoid tissue aggregate,Histology
spleen,Lymphoid blood filtering organ,Histology
lymphnode,Lymph filtering organ,Histology
lymphocyte,Immune system cell,Histology
macrophage,Phagocytic immune cell,Histology
neutrophil,Most abundant white blood cell,Histology
eosinophil,Granule containing immune cell,Histology
basophil,Histamine releasing immune cell,Histology
monocyte,Circulating precursor immune cell,Histology
plasma,Antibody producing immune cell,Histology
mastcell,Inflammatory mediator cell,Histology
erythrocyte,Red blood cell,Histology
leukocyte,White blood cell,Histology
platelet,Blood clotting cell fragment,Histology
hemoglobin,Oxygen carrying protein,Histology
capillary,Smallest blood vessel,Histology
arteriole,Small artery branch,Histology
venule,Small vein branch,Histology
intima,Innermost vessel layer,Histology
media,Middle vessel layer,Histology
endocardium,Inner heart lining,Histology
myocardium,Heart muscle layer,Histology
epicardium,Outer heart layer,Histology
pericardium,Heart surrounding membrane,Histology
pleura,Lung surrounding membrane,Histology
peritoneum,Abdominal cavity membrane,Histology
mesentery,Intestinal supporting fold,Histology
omentum,Abdominal fatty fold,Histology
zona,Distinct tissue layer,Histology
hilum,Entry site for vessels and nerves,Histology
cortex,Outer organ region,Histology
medulla,Inner organ region,Histology
germinal,Cell proliferating region,Histology
seminiferous,Sperm producing tubule,Histology
spermatid,Developing sperm cell,Histology
spermatocyte,Sperm precursor cell,Histology
oocyte,Immature egg cell,Histology
follicular,Related to ovarian follicles,Histology
blastocyst,Early embryonic stage,Histology
embryo,Developing organism,Histology
zygote,Fertilized egg cell,Histology
morula,Early embryonic cell mass,Histology
trophoblast,Outer embryonic cell layer,Histology
homeostasis,Maintenance of stable internal conditions,Physiology
osmosis,Movement of water across a membrane,Physiology
diffusion,Passive movement of molecules,Physiology
filtration,Movement driven by pressure differences,Physiology
transport,Movement of substances within the body,Physiology
absorption,Uptake of substances into tissues,Physiology
secretion,Release of substances from cells,Physiology
excretion,Removal of waste products,Physiology
metabolism,Sum of all chemical reactions,Physiology
catabolism,Breakdown of complex molecules,Physiology
anabolism,Synthesis of complex molecules,Physiology
enzyme,Biological catalyst,Physiology
substrate,Molecule acted on by an enzyme,Physiology
cofactor,Nonprotein helper for enzymes,Physiology
hormone,Chemical messenger in the body,Physiology
receptor,Protein binding a signaling molecule,Physiology
feedback,Mechanism regulating physiological activity,Physiology
stimulus,Factor triggering a response,Physiology
response,Reaction to a stimulus,Physiology
adaptation,Adjustment to environmental changes,Physiology
glucose,Primary energy source for cells,Physiology
glycogen,Stored form of glucose,Physiology
insulin,Hormone lowering blood glucose,Physiology
glucagon,Hormone raising blood glucose,Physiology
cortisol,Stress response hormone,Physiology
adrenaline,Fight or flight hormone,Physiology
thyroxine,Hormone regulating metabolism,Physiology
melatonin,Hormone regulating sleep cycles,Physiology
calcitonin,Hormone lowering blood calcium,Physiology
parathormone,Hormone increasing blood calcium,Physiology
growthhormone,Hormone stimulating body growth,Physiology
prolactin,Hormone promoting milk production,Physiology
oxytocin,Hormone involved in labor and bonding,Physiology
aldosterone,Hormone regulating sodium balance,Physiology
vasopressin,Hormone regulating water retention,Physiology
electrolyte,Mineral important for body function,Physiology
sodium,Major extracellular ion,Physiology
potassium,Major intracellular ion,Physiology
calcium,Essential ion for muscles and nerves,Physiology
chloride,Major extracellular anion,Physiology
phosphate,Important cellular ion,Physiology
bicarbonate,Buffer regulating blood pH,Physiology
buffer,System resisting pH changes,Physiology
acidbase,Balance of acids and bases,Physiology
respiration,Process of gas exchange,Physiology
ventilation,Movement of air into lungs,Physiology
perfusion,Blood flow through tissues,Physiology
oxygenation,Addition of oxygen to blood,Physiology
hemoglobin,Protein carrying oxygen,Physiology
hematocrit,Percentage of red blood cells,Physiology
cardiac,Related to heart function,Physiology
heartbeat,Rhythmic contraction of the heart,Physiology
pulse,Pressure wave from heart contractions,Physiology
circulation,Movement of blood through the body,Physiology
bloodflow,Flow of blood through vessels,Physiology
systole,Heart contraction phase,Physiology
diastole,Heart relaxation phase,Physiology
cardiacoutput,Blood pumped per minute,Physiology
strokevolume,Blood ejected per heartbeat,Physiology
bloodpressure,Force of blood against vessel walls,Physiology
vasodilation,Widening of blood vessels,Physiology
vasoconstriction,Narrowing of blood vessels,Physiology
capillaryexchange,Movement of substances across capillaries,Physiology
lymphflow,Movement of lymphatic fluid,Physiology
neuron,Nerve cell transmitting signals,Physiology
impulse,Electrical signal in a neuron,Physiology
depolarization,Reduction of membrane charge difference,Physiology
repolarization,Restoration of resting membrane charge,Physiology
synapse,Junction between nerve cells,Physiology
neurotransmitter,Chemical messenger of neurons,Physiology
acetylcholine,Neurotransmitter at many synapses,Physiology
dopamine,Neurotransmitter involved in reward,Physiology
serotonin,Neurotransmitter affecting mood,Physiology
gaba,Major inhibitory neurotransmitter,Physiology
reflex,Automatic response to a stimulus,Physiology
sensation,Detection of stimuli,Physiology
perception,Interpretation of sensory information,Physiology
vision,Ability to detect light,Physiology
hearing,Ability to detect sound,Physiology
balance,Maintenance of body equilibrium,Physiology
taste,Detection of dissolved chemicals,Physiology
smell,Detection of airborne chemicals,Physiology
contraction,Shortening of muscle fibers,Physiology
relaxation,Return of muscle to resting state,Physiology
sarcomere,Functional contractile unit of muscle,Physiology
actin,Thin filament protein,Physiology
myosin,Motor protein generating force,Physiology
fatigue,Decline in muscle performance,Physiology
endurance,Ability to sustain activity,Physiology
digestion,Breakdown of food into nutrients,Physiology
mastication,Chewing of food,Physiology
swallowing,Movement of food into esophagus,Physiology
peristalsis,Wave like movement of the gut,Physiology
motility,Movement activity of the digestive tract,Physiology
appetite,Desire to eat food,Physiology
satiety,Feeling of fullness,Physiology
bile,Fluid aiding fat digestion,Physiology
lipase,Enzyme digesting fats,Physiology
amylase,Enzyme digesting starch,Physiology
protease,Enzyme digesting proteins,Physiology
lactase,Enzyme digesting lactose,Physiology
filtrate,Fluid entering kidney tubules,Physiology
reabsorption,Return of substances to blood,Physiology
secretionkidney,Transfer of substances into urine,Physiology
urination,Expulsion of urine,Physiology
clearance,Rate of substance removal,Physiology
hydration,Maintenance of body water balance,Physiology
dehydration,Excessive loss of body water,Physiology
fertilization,Fusion of sperm and egg,Physiology
ovulation,Release of an egg from ovary,Physiology
gestation,Period of pregnancy,Physiology
lactation,Production of milk,Physiology
puberty,Development of reproductive maturity,Physiology
immunity,Ability to resist disease,Physiology
antibody,Protein targeting antigens,Physiology
antigen,Substance triggering immune response,Physiology
inflammation,Protective response to injury,Physiology
phagocytosis,Engulfment of particles by cells,Physiology
fever,Rise in body temperature,Physiology
thermoregulation,Control of body temperature,Physiology
metabolicrate,Rate of energy expenditure,Physiology
circadian,Biological daily rhythm,Physiology
sleep,Physiological state of rest,Physiology
arousal,State of alertness,Physiology
consciousness,Awareness of self and environment,Physiology
equilibrium,State of physiological balance,Physiology
compliance,Ability of tissue to stretch,Physiology
elasticity,Ability to return to original shape,Physiology
conductance,Ease of substance movement,Physiology
resistance,Opposition to flow or movement,Physiology
threshold,Minimum stimulus for activation,Physiology
excitability,Ability to respond to stimuli,Physiology
automaticity,Ability to generate impulses spontaneously,Physiology
synchrony,Coordinated physiological activity,Physiology
integration,Coordination of body functions,Physiology
regulation,Control of physiological processes,Physiology
aminoacid,Building block of proteins,Biochemistry
protein,Macromolecule made of amino acids,Biochemistry
peptide,Short chain of amino acids,Biochemistry
enzyme,Biological catalyst,Biochemistry
substrate,Molecule acted upon by an enzyme,Biochemistry
coenzyme,Organic helper molecule for enzymes,Biochemistry
cofactor,Nonprotein component required by enzymes,Biochemistry
catalysis,Acceleration of a chemical reaction,Biochemistry
metabolism,Sum of all biochemical reactions,Biochemistry
catabolism,Breakdown of complex molecules,Biochemistry
anabolism,Synthesis of complex molecules,Biochemistry
glycolysis,Pathway breaking down glucose,Biochemistry
gluconeogenesis,Synthesis of glucose from noncarbohydrates,Biochemistry
glycogen,Storage form of glucose,Biochemistry
glycogenesis,Formation of glycogen,Biochemistry
glycogenolysis,Breakdown of glycogen,Biochemistry
glucose,Primary cellular fuel,Biochemistry
fructose,Simple sugar found in fruits,Biochemistry
galactose,Simple sugar component of lactose,Biochemistry
sucrose,Common dietary disaccharide,Biochemistry
lactose,Milk sugar,Biochemistry
maltose,Disaccharide from starch digestion,Biochemistry
starch,Plant storage polysaccharide,Biochemistry
cellulose,Structural plant polysaccharide,Biochemistry
lipid,Hydrophobic biological molecule,Biochemistry
fattyacid,Building block of many lipids,Biochemistry
triglyceride,Major storage form of fat,Biochemistry
phospholipid,Major component of cell membranes,Biochemistry
cholesterol,Sterol important in membranes,Biochemistry
lipoprotein,Particle transporting lipids in blood,Biochemistry
hdl,High density lipoprotein,Biochemistry
ldl,Low density lipoprotein,Biochemistry
ketone,Product of fatty acid metabolism,Biochemistry
ketosis,State of elevated ketone production,Biochemistry
betaoxidation,Fatty acid degradation pathway,Biochemistry
acetylcoa,Central metabolic intermediate,Biochemistry
citricacid,Component of the Krebs cycle,Biochemistry
krebscycle,Major energy producing pathway,Biochemistry
atp,Primary cellular energy molecule,Biochemistry
adp,Lower energy phosphate carrier,Biochemistry
amp,Low energy adenine nucleotide,Biochemistry
oxidation,Loss of electrons,Biochemistry
reduction,Gain of electrons,Biochemistry
redox,Oxidation reduction reaction,Biochemistry
electron,Subatomic charged particle,Biochemistry
proton,Positively charged particle,Biochemistry
mitochondria,Organelle producing cellular energy,Biochemistry
respiration,Cellular energy generating process,Biochemistry
oxidativephosphorylation,ATP generation using electron transport,Biochemistry
electrontransport,Chain producing ATP,Biochemistry
nadh,Electron carrying coenzyme,Biochemistry
fadh2,Electron carrying coenzyme in respiration,Biochemistry
pyruvate,End product of glycolysis,Biochemistry
lactate,Product of anaerobic metabolism,Biochemistry
insulin,Hormone lowering blood glucose,Biochemistry
glucagon,Hormone raising blood glucose,Biochemistry
cortisol,Hormone affecting metabolism,Biochemistry
adrenaline,Hormone increasing energy availability,Biochemistry
thyroxine,Hormone regulating metabolic rate,Biochemistry
receptor,Protein receiving signals,Biochemistry
signaling,Cell communication process,Biochemistry
secondmessenger,Intracellular signaling molecule,Biochemistry
camp,Common second messenger,Biochemistry
cgmp,Intracellular signaling nucleotide,Biochemistry
kinase,Enzyme adding phosphate groups,Biochemistry
phosphatase,Enzyme removing phosphate groups,Biochemistry
phosphorylation,Addition of phosphate groups,Biochemistry
dephosphorylation,Removal of phosphate groups,Biochemistry
buffer,System resisting pH changes,Biochemistry
ph,Measure of acidity,Biochemistry
acid,Proton donating substance,Biochemistry
base,Proton accepting substance,Biochemistry
bicarbonate,Major physiological buffer,Biochemistry
carbonicacid,Component of buffer system,Biochemistry
electrolyte,Ion in biological fluids,Biochemistry
sodium,Major extracellular cation,Biochemistry
potassium,Major intracellular cation,Biochemistry
calcium,Important signaling ion,Biochemistry
magnesium,Essential enzymatic cofactor,Biochemistry
chloride,Major extracellular anion,Biochemistry
phosphate,Important biological ion,Biochemistry
nitrogen,Essential element in amino acids,Biochemistry
sulfur,Element found in some amino acids,Biochemistry
carbon,Fundamental element of life,Biochemistry
hydrogen,Common biological element,Biochemistry
oxygen,Essential element for respiration,Biochemistry
dna,Genetic information molecule,Biochemistry
rna,Nucleic acid involved in protein synthesis,Biochemistry
nucleotide,Building block of nucleic acids,Biochemistry
nucleoside,Sugar base molecular unit,Biochemistry
adenine,Purine nitrogenous base,Biochemistry
guanine,Purine nitrogenous base,Biochemistry
cytosine,Pyrimidine nitrogenous base,Biochemistry
thymine,DNA pyrimidine base,Biochemistry
uracil,RNA pyrimidine base,Biochemistry
replication,DNA copying process,Biochemistry
